                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6147,                 4.1692,                 3.1982,                0.71042,                0.86667,                0.88147,                0.68638,                  2.904,                 2.4492,                 2.4385,                      0,                      0,                      0
                      2,                 2.5355,                 5.1715,                 3.0348,                0.67341,                0.86667,                 0.8711,                0.68321,                 2.8968,                  2.433,                 2.4334,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 2.0297,                 5.9239,                 2.8748,                0.69247,                0.86667,                0.89531,                0.68664,                 2.9153,                 2.4502,                 2.4411,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.3459,                 4.7757,                 2.7834,                0.71112,                0.86667,                0.89474,                0.68572,                 2.9176,                 2.4586,                  2.442,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.2898,                 4.1085,                 3.0104,                0.70589,                0.86667,                0.88771,                0.68492,                 2.9284,                 2.4723,                 2.4415,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 3.1118,                 7.2553,                 3.7319,                0.67837,                0.86667,                0.88764,                0.68519,                  2.933,                 2.4836,                  2.441,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                  2.092,                 3.0363,                 2.6235,                0.70597,                0.86667,                0.88763,                0.68503,                 2.9321,                 2.4957,                 2.4402,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 2.2643,                 5.0034,                 2.7167,                 0.7217,                0.86667,                0.88485,                0.68302,                 2.9869,                 2.4656,                  2.492,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 2.0944,                 3.6351,                 2.7115,                0.70597,                0.86667,                0.88295,                0.68488,                  2.972,                  2.476,                 2.4858,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 2.3858,                 4.2733,                 3.1976,                0.70915,                0.78333,                0.87009,                0.68166,                 2.9725,                 2.5402,                 2.5088,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.4879,                 3.5564,                 3.1487,                0.70086,                0.78333,                0.87046,                 0.6821,                 2.9847,                 2.5596,                 2.5174,             1.0722e-05,             1.0722e-05,             1.0722e-05
